,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
0,410109.0,CB Films,France,Catherine Breillat,Romance,1412434.0,36 fillette,PG,06-01-1989,88.0,6.0,Delphine Zentout,938.0,Catherine Breillat,1988
1,8272908.0,Golan-Globus Productions,USA,Boaz Davidson,Romance,8892589.0,Salsa,PG,06-05-1988,98.0,4.9,Draco Rosa,900.0,Boaz Davidson,1988
2,100000.0,Hyperion Pictures,USA,Carroll Ballard,Family,781727.0,Nutcracker,G,26-11-1986,100.0,7.2,Hugh Bigney,578.0,Kent Stowell,1986
3,453456.0,DIC Entertainment,Canada,Bruno Bianchi,Family,2175833.0,Heathcliff: The Movie,G,17-01-1986,73.0,5.3,Mel Blanc,187.0,George Gately,1986
4,3569939.0,Columbia Pictures Corporation,Sweden,Ken Annakin,Family,5000000.0,Las travesuras de una pelirojja,G,29-07-1988,100.0,5.9,Tami Erin,3474.0,Astrid Lindgren,1988
5,1368210.0,TMS Entertainment,Japan,Masami Hata,Family,35000000.0,Little Nemo: Adventures in Slumberland,G,21-08-1992,85.0,7.2,Gabriel Damon,5800.0,Chris Columbus,1989
6,11784000.0,Ben-Ami/Leeds Productions,USA,Charles T. Kanganis,Family,20000000.0,3 Ninjas Kick Back,PG,06-05-1994,93.0,4.4,Victor Wong,7189.0,Sang-ok Shin,1994
7,3900000.0,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,18000000.0,The Manhattan Project,PG-13,13-06-1986,117.0,6.1,John Lithgow,4666.0,Marshall Brickman,1986
8,1930001.0,Trans World Entertainment (TWE),USA,David Keith,Sci-Fi,3655565.0,The Curse,R,11-09-1987,92.0,4.9,Wil Wheaton,1762.0,David Chaskin,1987
9,192816.0,Lightyear Entertainment,USA,Jim Wynorski,Sci-Fi,4000000.0,The Return of Swamp Thing,PG-13,12-05-1989,84.0,4.5,Dick Durock,3054.0,Len Wein,1989
10,1500000.0,Palace Pictures,UK,Richard Stanley,Sci-Fi,5728953.0,Hardware,R,14-09-1990,94.0,5.9,Dylan McDermott,10546.0,Steve MacManus,1990
11,5781885.0,Triumph Films,Canada,Christian Duguay,Sci-Fi,20000000.0,Asesinos cibernéticos,R,26-01-1996,108.0,6.4,Peter Weller,21565.0,Philip K. Dick,1995
12,14048372.0,Live Entertainment,USA,David Twohy,Sci-Fi,25000000.0,The Arrival,PG-13,31-05-1996,115.0,6.3,Charlie Sheen,27641.0,David Twohy,1996
13,15071514.0,Warner Bros.,USA,Oliver Hirschbiegel,Sci-Fi,80000000.0,The Invasion,PG-13,17-08-2007,99.0,5.9,Nicole Kidman,67939.0,David Kajganich,2007
14,30000000.0,TriStar Pictures,South Africa,Neill Blomkamp,Sci-Fi,115646235.0,Sector 9,R,14-08-2009,112.0,8.0,Sharlto Copley,566581.0,Neill Blomkamp,2009
15,3000000.0,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057.0,Jason Lives: Friday the 13th Part VI,R,01-08-1986,86.0,5.706400000000003,Thom Mathews,28310.0,Tom McLoughlin,1986
